question,answer
439 438,437
176 385,384 379
176 385 384,379
176 381,380
379 378,377 376
379 378 377,376
467 487,477
485 484,467
481 466,467
476 479,478
466 477,467
466 476,467
470 469,468
465 464,461
463 3,462
458 3,460 455
458 3 460,455
459 3,455
1166 1165,1154
1160 1159,1158 1157 1156 1155
1160 1159 1158,1157 1156 1155
1160 1159 1158 1157,1156 1155
1160 1159 1158 1157 1156,1155
1154 1153,1146
1152 1151,1146
1150 1149,1148 1147
1150 1149 1148,1147
1143 1145,1144
367 373,363
372 371,370 363
372 371 370,363
366 365,364
363 362,361
1048 1047,1042
1046 1045,1044
841 950,936
655 949,936
655 948,947
946 945,936
655 944,943 936
655 944 943,936
942 941,940 939 938 937
942 941 940,939 938 937
942 941 940 939,938 937
942 941 940 939 938,937
277 277,274
284 283,282
274 281,280
279 275,277 274
279 275 277,274
893 892,891
890 889,888
319 295,318 317 316
319 295 318,317 316
319 295 318 317,316
315 314,295
312 311,310 295
312 311 310,295
309 308,295
307 306,305 304 303
307 306 305,304 303
307 306 305 304,303
295 298,302
301 300,290
298 297,296
293 292,291
225 224,223 222 216
225 224 223,222 216
225 224 223 222,216
218 221,216
219 218,216
180 150,217
3 339,338 335
3 339 338,335
561 561,576
575 549,564 561
575 549 564,561
574 573,561
567 562,561
568 564,548
567 566,548 565
567 566 548,565
544 563,562
543 551,550 549
543 551 550,549
548 547,546
675 674,673 672 668
675 674 673,672 668
675 674 673 672,668
150 218,668
656 651,652
655 654,653
901 895,896
899 898,897
896 895,894
501 500,498 499
501 500 498,499
150 498,180 489
150 498 180,489
495 494,493 489
495 494 493,489
360 339,349
339 359,147
339 358,357 356 147
339 358 357,356 147
339 358 357 356,147
339 349,355
354 353,349
339 352,351 350
339 352 351,350
339 349,348 339
339 349 348,339
346 345,340
339 344,340
343 342,341
3 333,332 326
3 333 332,326
3 331,326
3 328,327
32 31,30 29 17 28
32 31 30,29 17 28
32 31 30 29,17 28
32 31 30 29 17,28
25 23,24 23
25 23 24,23
19 18,17 16
19 18 17,16
180 713,712 711 700
180 713 712,711 700
180 713 712 711,700
710 709,700
705 704,700
53 180,703 702 701
53 180 703,702 701
53 180 703 702,701
729 728,727 716
729 728 727,716
726 725,724
723 722,716
655 277,720
719 718,717
676 716,715 714
676 716 715,714
743 218,742 729
743 218 742,729
739 738,737 729
739 738 737,729
736 735,729
734 655,733 729
734 655 733,729
732 731,730
1030 1029,1028 1008
1030 1029 1028,1008
1027 1026,1008
1025 1024,1012
1022 1021,1020 1008
1022 1021 1020,1008
1018 1017,180 1008
1018 1017 180,1008
1012 1011,1010 1009
1012 1011 1010,1009
700 699,698 697 686
700 699 698,697 686
700 699 698 697,686
218 150,686
696 695,686
694 693,692
691 690,689 686
691 690 689,686
841 1068,1062
841 878,1067
1062 199,1062
1066 1065,1062
180 768,753 755
180 768 753,755
505 783,782 781 763 780 754
505 783 782,781 763 780 754
505 783 782 781,763 780 754
505 783 782 781 763,780 754
505 783 782 781 763 780,754
774 779,778 755
774 779 778,755
758 777,776 754
758 777 776,754
775 774,754
773 180,150 748
773 180 150,748
772 749,751
425 424,395
409 423,422 411
409 423 422,411
421 420,419 418
421 420 419,418
417 416,409 415 414
417 416 409,415 414
417 416 409 415,414
409 413,399 412
409 413 399,412
409 411,398
410 409,408 407
410 409 408,407
406 405,404 395
406 405 404,395
402 401,400 399
402 401 400,399
398 397,396
14 13,12 6
14 13 12,6
3 6,2
50 70,57
50 69,68
67 66,65 64 63
67 66 65,64 63
67 66 65 64,63
62 61,60 59 58
62 61 60,59 58
62 61 60 59,58
54 57,56
55 54,53 48
55 54 53,48
52 49,48
51 50,49
535 542,535
541 540,539
538 535,537
530 529,528
508 503,509
503 508,502
506 503,502
218 769,768 753 752
218 769 768,753 752
218 769 768 753,752
